dataset,model,method,crps_norm_mean,crps_norm_sd,skce_mean,skce_sd,stat_mean,stat_sd,accept_frac,paper_crps_mean,paper_crps_sd,agree_2sd
energy,mdn,ckme,0.760149,0.140201,1.466807636838588e-06,1.2879794753249961e-06,-2.3612856927684985e-06,4.0535719830985495e-07,0.6,0.594,0.178,True
energy,bnn,none,1.0,0.0,1.5417585259864063e-06,1.1282447651701212e-06,-1.95601131156478e-06,3.925267509333947e-07,0.4,,,
energy,bnn,pit,0.903234,0.044425,8.18115433592533e-07,6.938138125522423e-07,-1.7104402294878125e-06,3.203808048610868e-07,0.8,1.008,0.043,
energy,bnn,beta,0.908963,0.035058,8.449665669116295e-07,7.032431540276266e-07,-1.7191098132320054e-06,3.180185587804875e-07,0.7,,,
energy,bnn,ckme,0.920098,0.160635,1.1343434714329115e-06,1.201951959593997e-06,-1.769470451767334e-06,2.6678960878029737e-07,0.6,0.693,0.211,True
energy,drf,none,1.0,0.0,3.0853633421154603e-07,4.5689867224835474e-07,-1.978903168962624e-06,2.527748201515021e-07,0.9,,,
energy,drf,pit,1.052985,0.032827,5.229624829364444e-07,5.226929102777539e-07,-2.1148830063187095e-06,2.6513989208812317e-07,0.9,0.998,0.039,
energy,drf,beta,1.044624,0.029195,5.12436358526486e-07,5.943830971576843e-07,-2.122752859889053e-06,2.7822922011230397e-07,0.9,,,
energy,drf,ckme,0.986984,0.107631,9.01641895032191e-07,8.652621525183974e-07,-2.0304269935271065e-06,2.926792818907762e-07,0.7,0.719,0.198,True
concrete,gdn,none,1.0,0.0,9.694628183134625e-07,2.005429952334691e-06,-4.817264963035551e-06,1.1501046144902347e-06,0.9,,,
concrete,gdn,pit,0.99798,0.010338,8.87448229157541e-07,2.131690081183482e-06,-4.914649365376013e-06,1.0882429071384004e-06,0.9,0.999,0.014,
concrete,gdn,beta,0.998705,0.009619,9.023128862431489e-07,2.218732929196874e-06,-5.059783178358008e-06,1.2512662078955043e-06,0.9,1.0,0.021,
concrete,gdn,ckme,1.031512,0.026406,2.970938855839519e-06,3.7476256565895534e-06,-5.381798464129544e-06,1.1030863529589085e-06,0.7,1.045,0.047,True
concrete,mdn,none,1.0,0.0,6.646053540133462e-07,1.9751381902426273e-06,-4.636614124533664e-06,5.509194759772827e-07,0.8,,,
concrete,mdn,pit,1.004926,0.004648,1.0875497265690316e-06,2.8322878028050074e-06,-4.721919480524603e-06,5.877751778194592e-07,0.9,1.003,0.018,
concrete,mdn,beta,1.00454,0.008609,1.240499705564959e-06,2.9560797200047528e-06,-4.810503913235163e-06,5.788224582820933e-07,0.8,1.038,0.028,
concrete,mdn,ckme,1.058777,0.03467,3.2502862503064874e-06,4.303192673364149e-06,-5.1212166016704e-06,7.757634257579852e-07,0.7,1.032,0.038,True
concrete,bnn,none,1.0,0.0,1.2035800627209232e-06,2.082426757984658e-06,-4.4727627548972815e-06,7.920064123607392e-07,0.8,,,
concrete,bnn,pit,0.996407,0.015473,1.1757107681880713e-06,2.561896284085871e-06,-4.519602281061996e-06,9.178523064499098e-07,0.8,1.001,0.015,
concrete,bnn,beta,0.995161,0.014776,1.3038050440429986e-06,2.681703871818108e-06,-4.591240788783459e-06,9.602453226261437e-07,0.8,,,
concrete,bnn,ckme,1.0299,0.032658,3.1560904691188266e-06,3.7782739483293195e-06,-4.809253077523504e-06,9.028947100679364e-07,0.6,0.928,0.042,True
concrete,drf,none,1.0,0.0,2.0677177719377768e-06,2.3484925936220756e-06,-6.226747666314937e-06,6.106549909729525e-07,0.7,,,
concrete,drf,pit,0.977491,0.016215,1.2052777757206523e-06,1.915888373949811e-06,-5.088927215772483e-06,4.230477253591928e-07,0.9,1.0,0.009,
concrete,drf,beta,0.981108,0.010002,1.365325366244659e-06,1.9364129699969838e-06,-5.358651528819563e-06,5.044353758674785e-07,0.8,,,
concrete,drf,ckme,0.976025,0.034564,2.8566182030098814e-06,3.4589701752515965e-06,-4.6866607272308935e-06,4.623028485854094e-07,0.6,0.915,0.034,True
wine-quality-red,gdn,none,1.0,0.0,0.07148807418903272,0.016491302922317833,-0.004938287722200914,0.0010253974897182566,0.0,,,
wine-quality-red,gdn,pit,0.999985,0.010184,0.06704941543222723,0.01499824126287818,-0.0048667772350912955,0.0008492074829796618,0.0,0.999,0.009,
wine-quality-red,gdn,beta,1.002812,0.010984,0.07303958220021554,0.016181060959254655,-0.005011143014243699,0.0008780227399588469,0.0,1.0,0.011,
wine-quality-red,gdn,ckme,0.898427,0.028067,0.016668277657280368,0.00887861673047128,-0.004808241550178804,0.0010883931660077048,0.1,0.901,0.026,True
wine-quality-red,mdn,none,1.0,0.0,0.016496665826639143,0.011859099697580488,-0.00574786808990704,0.0007974736897411433,0.2,,,
wine-quality-red,mdn,pit,1.005415,0.03135,0.01699140438262866,0.012205057481554319,-0.005006867106014759,0.0012859991825400672,0.1,1.002,0.007,
wine-quality-red,mdn,beta,1.000867,0.021667,0.01592104569176232,0.0097693965058624,-0.005151960812109043,0.0008018950377456575,0.1,1.014,0.021,
wine-quality-red,mdn,ckme,1.014555,0.025219,0.015411118811989487,0.008064121915260682,-0.004934896574374735,0.0011783766325594294,0.0,1.06,0.042,True
wine-quality-red,bnn,none,1.0,0.0,0.06735094694468219,0.01835615078899272,-0.004676228115259764,0.0011229807040553416,0.0,,,
wine-quality-red,bnn,pit,1.002626,0.005607,0.06485084760114032,0.01633824598837794,-0.004700434156533379,0.001044285658305372,0.0,1.0,0.006,
wine-quality-red,bnn,beta,1.004618,0.009037,0.07023118288731801,0.01862497523653085,-0.004843593750479369,0.0010993399037587186,0.0,,,
wine-quality-red,bnn,ckme,0.904165,0.029973,0.01735097854596287,0.007313287815345021,-0.004795818280477909,0.0008271317448240588,0.0,0.899,0.022,True
wine-quality-red,drf,none,1.0,0.0,0.007280185804972149,0.006052812034731835,-0.004008192262172966,0.00037643323895660154,0.5,,,
wine-quality-red,drf,pit,1.56958,0.146497,0.1032623866003661,0.022896342135757156,-0.00402209471996706,0.00037341015798815513,0.0,1.0,0.005,
wine-quality-red,drf,beta,1.499851,0.135509,0.09437342541894428,0.023398278753393394,-0.004212577713224021,0.00045569650055812567,0.0,,,
wine-quality-red,drf,ckme,1.026052,0.016009,0.006981252845243318,0.004177338583206939,-0.0035077417921434316,0.0006964635281571644,0.2,0.902,0.019,False
